2020/11/04 20:14:06.797 [D] [value.go:475]  ---- 请求到达
2020/11/05 11:06:41.884 [D] [storage.go:51]  ---- host:192.168.189.128,port:6379,pwd:redis@wcj,maxIdle:10,maxActive:100 ----
2020/11/05 11:06:42.029 [D] [cache.go:10]  ---- get redis val:admin ----
2020/11/05 11:06:42.030 [D] [user.go:34]  ---- 开始获取数据库连接 ----
2020/11/05 11:06:42.030 [D] [storage.go:123]  ---- 开始获取配置文件中DB信息 ----
2020/11/05 11:06:42.031 [D] [storage.go:123]  user:root,password:520wcj,dbname:family_diary,maxIdle:10,maxConn:30
2020/11/05 11:06:42.050 [D] [user.go:39]  --- query sql:select id from fd_user where username = ? and status = 0
2020/11/05 11:06:42.051 [D] [user.go:14]  ---- 开始获取数据库连接 ----
2020/11/05 11:06:42.051 [D] [cache.go:10]  ---- get redis starting ----
2020/11/05 11:06:42.052 [D] [cache.go:25]  ---- 开始获取redis连接 ----
2020/11/05 11:06:42.052 [D] [storage.go:35]  ---- 开始获取redis连接池 ----
2020/11/05 11:06:42.053 [D] [cache.go:10]  ---- get redis val:admin ----
2020/11/05 11:06:42.054 [D] [cache.go:10]  ---- get redis starting ----
2020/11/05 11:06:42.054 [D] [cache.go:25]  ---- 开始获取redis连接 ----
2020/11/05 11:06:42.058 [D] [storage.go:35]  ---- 开始获取redis连接池 ----
2020/11/05 11:06:42.061 [D] [cache.go:10]  ---- get redis val:admin ----
2020/11/05 11:06:42.141 [D] [user.go:43]  insert user sql:insert into fd_user(username,password,head,gender,remark,create_user,create_time,update_user,update_time,status) values(?,?,?,?,?,?,?,?,?,?)
2020/11/05 11:06:42.142 [D] [server.go:2843]  |      127.0.0.1|[42m 200 [0m|   260.3154ms|   match|[46m POST    [0m /add/user   r:/add/user
2020/11/05 11:09:08.305 [D] [cache.go:10]  ---- get redis starting ----
2020/11/05 11:09:08.306 [D] [cache.go:25]  ---- 开始获取redis连接 ----
2020/11/05 11:09:08.306 [D] [storage.go:35]  ---- 开始获取redis连接池 ----
2020/11/05 11:09:08.320 [D] [storage.go:51]  ---- 开始获取配置文件信息redis信息 ----
2020/11/05 11:09:08.321 [D] [storage.go:51]  ---- host:192.168.189.128,port:6379,pwd:redis@wcj,maxIdle:10,maxActive:100 ----
2020/11/05 11:09:08.490 [D] [cache.go:10]  ---- get redis val:admin ----
2020/11/05 11:09:08.491 [D] [user.go:35]  ---- 开始获取数据库连接 ----
2020/11/05 11:09:08.493 [D] [storage.go:123]  ---- 开始获取配置文件中DB信息 ----
2020/11/05 11:09:08.497 [D] [storage.go:123]  user:root,password:520wcj,dbname:family_diary,maxIdle:10,maxConn:30
2020/11/05 11:09:08.514 [D] [server.go:2843]  |      127.0.0.1|[42m 200 [0m|   208.5904ms|   match|[46m POST    [0m /add/user   r:/add/user
2020/11/05 11:09:23.911 [D] [cache.go:10]  ---- get redis starting ----
2020/11/05 11:09:23.912 [D] [cache.go:25]  ---- 开始获取redis连接 ----
2020/11/05 11:09:23.912 [D] [storage.go:35]  ---- 开始获取redis连接池 ----
2020/11/05 11:09:23.915 [D] [cache.go:10]  ---- get redis val:admin ----
2020/11/05 11:09:23.924 [D] [user.go:35]  ---- 开始获取数据库连接 ----
2020/11/05 11:09:23.926 [D] [server.go:2843]  |      127.0.0.1|[42m 200 [0m|    14.9599ms|   match|[46m POST    [0m /add/user   r:/add/user
2020/11/05 11:10:34.720 [D] [server.go:2843]  |      127.0.0.1|[43m 404 [0m|      996.8µs| nomatch|[44m GET     [0m /login
2020/11/05 11:10:34.897 [D] [server.go:2843]  |      127.0.0.1|[43m 404 [0m|           0s| nomatch|[44m GET     [0m /favicon.ico
2020/11/05 11:17:30.620 [D] [login.go:82]  login username:admin,password:admin
2020/11/05 11:17:30.620 [D] [login.go:87]  ---- user login cache redis key1:login_admin_username
2020/11/05 11:17:30.621 [D] [cache.go:10]  ---- get redis starting ----
2020/11/05 11:17:30.628 [D] [cache.go:25]  ---- 开始获取redis连接 ----
2020/11/05 11:17:30.628 [D] [storage.go:35]  ---- 开始获取redis连接池 ----
2020/11/05 11:17:30.628 [D] [storage.go:51]  ---- 开始获取配置文件信息redis信息 ----
2020/11/05 11:17:30.629 [D] [storage.go:51]  ---- host:192.168.189.128,port:6379,pwd:redis@wcj,maxIdle:10,maxActive:100 ----
2020/11/05 11:17:30.795 [D] [cache.go:10]  redis exec get failed,err:redigo: nil returned
2020/11/05 11:17:30.797 [D] [login.go:30]  ---- 开始获取数据库连接 ----
2020/11/05 11:17:30.804 [D] [storage.go:123]  ---- 开始获取配置文件中DB信息 ----
2020/11/05 11:17:30.806 [D] [storage.go:123]  user:root,password:520wcj,dbname:family_diary,maxIdle:10,maxConn:30
2020/11/05 11:17:30.838 [D] [login.go:65]  query sql:select password from fd_user where username = ? and status = 0,query result:{"Id":0,"Username":"","Password":"21232f297a57a5a743894a0e4a801fc3","Head":"","Gender":"","Remark":"","CreateUser":"","UpdateUser":"","Status":"","CreateTime":"0001-01-01T00:00:00Z","UpdateTime":"0001-01-01T00:00:00Z"}
2020/11/05 11:17:30.841 [D] [cache.go:15]  ---- set redis starting ----
2020/11/05 11:17:30.842 [D] [cache.go:52]  ---- 开始获取redis连接 ----
2020/11/05 11:17:30.843 [D] [storage.go:35]  ---- 开始获取redis连接池 ----
2020/11/05 11:17:30.844 [D] [cache.go:15]  ---- get redis val:admin ----
2020/11/05 11:17:30.845 [D] [server.go:2843]  |      127.0.0.1|[42m 200 [0m|   225.3967ms|   match|[46m POST    [0m /user/login   r:/user/login
2020/11/05 11:17:41.313 [D] [cache.go:10]  ---- get redis starting ----
2020/11/05 11:17:41.313 [D] [cache.go:25]  ---- 开始获取redis连接 ----
2020/11/05 11:17:41.313 [D] [storage.go:35]  ---- 开始获取redis连接池 ----
2020/11/05 11:17:41.316 [D] [cache.go:10]  ---- get redis val:admin ----
2020/11/05 11:17:41.317 [D] [user.go:35]  ---- 开始获取数据库连接 ----
2020/11/05 11:17:41.320 [D] [server.go:2843]  |      127.0.0.1|[42m 200 [0m|     6.9596ms|   match|[46m POST    [0m /add/user   r:/add/user
2020/11/05 11:17:49.015 [D] [cache.go:10]  ---- get redis starting ----
2020/11/05 11:17:49.017 [D] [cache.go:25]  ---- 开始获取redis连接 ----
2020/11/05 11:17:49.017 [D] [storage.go:35]  ---- 开始获取redis连接池 ----
2020/11/05 11:17:49.021 [D] [cache.go:10]  ---- get redis val:admin ----
2020/11/05 11:17:49.021 [D] [user.go:55]  ---- 开始获取数据库连接 ----
2020/11/05 11:17:49.025 [D] [user.go:59]  del user sql:update fd_user set status = 1 where id = ?
2020/11/05 11:17:49.026 [D] [server.go:2843]  |      127.0.0.1|[42m 200 [0m|    10.9823ms|   match|[41m DELETE  [0m /del/user   r:/del/user
2020/11/05 11:19:27.090 [D] [cache.go:10]  ---- get redis starting ----
2020/11/05 11:19:27.123 [D] [cache.go:25]  ---- 开始获取redis连接 ----
2020/11/05 11:19:27.131 [D] [storage.go:35]  ---- 开始获取redis连接池 ----
2020/11/05 11:19:27.137 [D] [storage.go:51]  ---- 开始获取配置文件信息redis信息 ----
2020/11/05 11:19:27.138 [D] [storage.go:51]  ---- host:192.168.189.128,port:6379,pwd:redis@wcj,maxIdle:10,maxActive:100 ----
2020/11/05 11:19:27.296 [D] [cache.go:10]  ---- get redis val:admin ----
2020/11/05 11:19:27.296 [D] [user.go:35]  ---- 开始获取数据库连接 ----
2020/11/05 11:19:27.297 [D] [storage.go:123]  ---- 开始获取配置文件中DB信息 ----
2020/11/05 11:19:27.298 [D] [storage.go:123]  user:root,password:520wcj,dbname:family_diary,maxIdle:10,maxConn:30
2020/11/05 11:19:27.338 [D] [server.go:2843]  |      127.0.0.1|[42m 200 [0m|   249.3424ms|   match|[43m PUT     [0m /update/user   r:/update/user
2020/11/05 11:34:29.147 [D] [cache.go:10]  ---- get redis starting ----
2020/11/05 11:34:29.148 [D] [cache.go:25]  ---- 开始获取redis连接 ----
2020/11/05 11:34:29.148 [D] [storage.go:35]  ---- 开始获取redis连接池 ----
2020/11/05 11:34:29.159 [D] [storage.go:51]  ---- 开始获取配置文件信息redis信息 ----
2020/11/05 11:34:29.160 [D] [storage.go:51]  ---- host:192.168.189.128,port:6379,pwd:redis@wcj,maxIdle:10,maxActive:100 ----
2020/11/05 11:34:32.243 [D] [cache.go:10]  ---- get redis val:admin ----
2020/11/05 11:34:32.244 [D] [user.go:95]  ---- 开始获取数据库连接 ----
2020/11/05 11:34:32.245 [D] [storage.go:123]  ---- 开始获取配置文件中DB信息 ----
2020/11/05 11:34:32.247 [D] [storage.go:123]  user:root,password:520wcj,dbname:family_diary,maxIdle:10,maxConn:30
2020/11/05 11:34:32.265 [D] [server.go:2843]  |      127.0.0.1|[42m 200 [0m|    3.117941s|   match|[44m GET     [0m /get/user   r:/get/user
2020/11/05 15:00:07.536 [D] [cache.go:10]  ---- get redis starting ----
2020/11/05 15:00:07.537 [D] [cache.go:25]  ---- 开始获取redis连接 ----
2020/11/05 15:00:07.537 [D] [storage.go:35]  ---- 开始获取redis连接池 ----
2020/11/05 15:00:07.545 [D] [storage.go:51]  ---- 开始获取配置文件信息redis信息 ----
2020/11/05 15:00:07.546 [D] [storage.go:51]  ---- host:192.168.189.128,port:6379,pwd:redis@wcj,maxIdle:10,maxActive:100 ----
2020/11/05 15:00:07.706 [D] [cache.go:10]  redis exec get failed,err:redigo: nil returned
2020/11/05 15:00:07.707 [D] [server.go:2843]  |      127.0.0.1|[42m 200 [0m|   170.6337ms|   match|[44m GET     [0m /get/users   r:/get/users
2020/11/05 15:00:12.505 [D] [login.go:82]  login username:admin,password:admin
2020/11/05 15:00:12.505 [D] [login.go:87]  ---- user login cache redis key1:login_admin_username
2020/11/05 15:00:12.506 [D] [cache.go:10]  ---- get redis starting ----
2020/11/05 15:00:12.516 [D] [cache.go:25]  ---- 开始获取redis连接 ----
2020/11/05 15:00:12.517 [D] [storage.go:35]  ---- 开始获取redis连接池 ----
2020/11/05 15:00:12.520 [D] [cache.go:10]  redis exec get failed,err:redigo: nil returned
2020/11/05 15:00:12.521 [D] [login.go:30]  ---- 开始获取数据库连接 ----
2020/11/05 15:00:12.521 [D] [storage.go:123]  ---- 开始获取配置文件中DB信息 ----
2020/11/05 15:00:12.522 [D] [storage.go:123]  user:root,password:520wcj,dbname:family_diary,maxIdle:10,maxConn:30
2020/11/05 15:00:12.529 [D] [login.go:65]  query sql:select password from fd_user where username = ? and status = 0,query result:{"Id":0,"Username":"","Password":"21232f297a57a5a743894a0e4a801fc3","Head":"","Gender":"","Remark":"","CreateUser":"","UpdateUser":"","Status":"","CreateTime":"0001-01-01T00:00:00Z","UpdateTime":"0001-01-01T00:00:00Z"}
2020/11/05 15:00:12.539 [D] [cache.go:15]  ---- set redis starting ----
2020/11/05 15:00:12.539 [D] [cache.go:52]  ---- 开始获取redis连接 ----
2020/11/05 15:00:12.540 [D] [storage.go:35]  ---- 开始获取redis连接池 ----
2020/11/05 15:00:12.542 [D] [cache.go:15]  ---- get redis val:admin ----
2020/11/05 15:00:12.543 [D] [server.go:2843]  |      127.0.0.1|[42m 200 [0m|    37.8847ms|   match|[46m POST    [0m /user/login   r:/user/login
2020/11/05 15:00:15.065 [D] [cache.go:10]  ---- get redis starting ----
2020/11/05 15:00:15.066 [D] [cache.go:25]  ---- 开始获取redis连接 ----
2020/11/05 15:00:15.066 [D] [storage.go:35]  ---- 开始获取redis连接池 ----
2020/11/05 15:00:15.068 [D] [cache.go:10]  ---- get redis val:admin ----
2020/11/05 15:00:15.068 [C] [panic.go:969]  the request url is  /get/users
2020/11/05 15:00:15.079 [C] [panic.go:969]  Handler crashed with error can't find templatefile in the path:views/usercontroller/queryusers.tpl
2020/11/05 15:00:15.088 [C] [panic.go:969]  D:/go/src/runtime/panic.go:969
2020/11/05 15:00:15.089 [C] [panic.go:969]  D:/GoWorks/src/github.com/astaxie/beego/template.go:75
2020/11/05 15:00:15.089 [C] [panic.go:969]  D:/GoWorks/src/github.com/astaxie/beego/controller.go:306
2020/11/05 15:00:15.090 [C] [panic.go:969]  D:/GoWorks/src/github.com/astaxie/beego/controller.go:257
2020/11/05 15:00:15.090 [C] [panic.go:969]  D:/GoWorks/src/github.com/astaxie/beego/controller.go:237
2020/11/05 15:00:15.091 [C] [panic.go:969]  D:/GoWorks/src/github.com/astaxie/beego/router.go:909
2020/11/05 15:00:15.092 [C] [panic.go:969]  D:/go/src/net/http/server.go:2843
2020/11/05 15:00:15.092 [C] [panic.go:969]  D:/go/src/net/http/server.go:1925
2020/11/05 15:00:15.092 [C] [panic.go:969]  D:/go/src/runtime/asm_amd64.s:1374
2020/11/05 15:02:06.646 [D] [cache.go:10]  ---- get redis starting ----
2020/11/05 15:02:06.647 [D] [cache.go:25]  ---- 开始获取redis连接 ----
2020/11/05 15:02:06.647 [D] [storage.go:35]  ---- 开始获取redis连接池 ----
2020/11/05 15:02:06.647 [D] [storage.go:51]  ---- 开始获取配置文件信息redis信息 ----
2020/11/05 15:02:06.666 [D] [storage.go:51]  ---- host:192.168.189.128,port:6379,pwd:redis@wcj,maxIdle:10,maxActive:100 ----
2020/11/05 15:02:06.806 [D] [cache.go:10]  ---- get redis val:admin ----
2020/11/05 15:02:06.808 [C] [panic.go:969]  the request url is  /get/users
2020/11/05 15:02:06.808 [C] [panic.go:969]  Handler crashed with error can't find templatefile in the path:views/usercontroller/queryusers.tpl
2020/11/05 15:02:06.809 [C] [panic.go:969]  D:/go/src/runtime/panic.go:969
2020/11/05 15:02:06.820 [C] [panic.go:969]  D:/GoWorks/src/github.com/astaxie/beego/template.go:75
2020/11/05 15:02:06.821 [C] [panic.go:969]  D:/GoWorks/src/github.com/astaxie/beego/controller.go:306
2020/11/05 15:02:06.822 [C] [panic.go:969]  D:/GoWorks/src/github.com/astaxie/beego/controller.go:257
2020/11/05 15:02:06.822 [C] [panic.go:969]  D:/GoWorks/src/github.com/astaxie/beego/controller.go:237
2020/11/05 15:02:06.823 [C] [panic.go:969]  D:/GoWorks/src/github.com/astaxie/beego/router.go:909
2020/11/05 15:02:06.823 [C] [panic.go:969]  D:/go/src/net/http/server.go:2843
2020/11/05 15:02:06.824 [C] [panic.go:969]  D:/go/src/net/http/server.go:1925
2020/11/05 15:02:06.824 [C] [panic.go:969]  D:/go/src/runtime/asm_amd64.s:1374
2020/11/05 15:02:46.147 [D] [cache.go:10]  ---- get redis starting ----
2020/11/05 15:02:46.148 [D] [cache.go:25]  ---- 开始获取redis连接 ----
2020/11/05 15:02:46.149 [D] [storage.go:35]  ---- 开始获取redis连接池 ----
2020/11/05 15:02:46.161 [D] [storage.go:51]  ---- 开始获取配置文件信息redis信息 ----
2020/11/05 15:02:46.162 [D] [storage.go:51]  ---- host:192.168.189.128,port:6379,pwd:redis@wcj,maxIdle:10,maxActive:100 ----
2020/11/05 15:02:46.311 [D] [cache.go:10]  ---- get redis val:admin ----
2020/11/05 15:02:46.313 [C] [panic.go:969]  the request url is  /get/users
2020/11/05 15:02:46.313 [C] [panic.go:969]  Handler crashed with error can't find templatefile in the path:views/usercontroller/queryusers.tpl
2020/11/05 15:02:46.322 [C] [panic.go:969]  D:/go/src/runtime/panic.go:969
2020/11/05 15:02:46.323 [C] [panic.go:969]  D:/GoWorks/src/github.com/astaxie/beego/template.go:75
2020/11/05 15:02:46.324 [C] [panic.go:969]  D:/GoWorks/src/github.com/astaxie/beego/controller.go:306
2020/11/05 15:02:46.324 [C] [panic.go:969]  D:/GoWorks/src/github.com/astaxie/beego/controller.go:257
2020/11/05 15:02:46.325 [C] [panic.go:969]  D:/GoWorks/src/github.com/astaxie/beego/controller.go:237
2020/11/05 15:02:46.326 [C] [panic.go:969]  D:/GoWorks/src/github.com/astaxie/beego/router.go:909
2020/11/05 15:02:46.326 [C] [panic.go:969]  D:/go/src/net/http/server.go:2843
2020/11/05 15:02:46.327 [C] [panic.go:969]  D:/go/src/net/http/server.go:1925
2020/11/05 15:02:46.327 [C] [panic.go:969]  D:/go/src/runtime/asm_amd64.s:1374
2020/11/05 15:04:54.903 [D] [value.go:475]  ---- 开始分页查询 ----
2020/11/05 15:04:54.903 [D] [cache.go:10]  ---- get redis starting ----
2020/11/05 15:04:54.903 [D] [cache.go:25]  ---- 开始获取redis连接 ----
2020/11/05 15:04:54.904 [D] [storage.go:35]  ---- 开始获取redis连接池 ----
2020/11/05 15:04:54.915 [D] [storage.go:51]  ---- 开始获取配置文件信息redis信息 ----
2020/11/05 15:04:54.915 [D] [storage.go:51]  ---- host:192.168.189.128,port:6379,pwd:redis@wcj,maxIdle:10,maxActive:100 ----
2020/11/05 15:04:55.085 [D] [cache.go:10]  ---- get redis val:admin ----
2020/11/05 15:04:55.086 [C] [panic.go:969]  the request url is  /get/users
2020/11/05 15:04:55.095 [C] [panic.go:969]  Handler crashed with error can't find templatefile in the path:views/usercontroller/queryusers.tpl
2020/11/05 15:04:55.096 [C] [panic.go:969]  D:/go/src/runtime/panic.go:969
2020/11/05 15:04:55.098 [C] [panic.go:969]  D:/GoWorks/src/github.com/astaxie/beego/template.go:75
2020/11/05 15:04:55.099 [C] [panic.go:969]  D:/GoWorks/src/github.com/astaxie/beego/controller.go:306
2020/11/05 15:04:55.100 [C] [panic.go:969]  D:/GoWorks/src/github.com/astaxie/beego/controller.go:257
2020/11/05 15:04:55.100 [C] [panic.go:969]  D:/GoWorks/src/github.com/astaxie/beego/controller.go:237
2020/11/05 15:04:55.101 [C] [panic.go:969]  D:/GoWorks/src/github.com/astaxie/beego/router.go:909
2020/11/05 15:04:55.101 [C] [panic.go:969]  D:/go/src/net/http/server.go:2843
2020/11/05 15:04:55.102 [C] [panic.go:969]  D:/go/src/net/http/server.go:1925
2020/11/05 15:04:55.102 [C] [panic.go:969]  D:/go/src/runtime/asm_amd64.s:1374
2020/11/05 15:07:09.478 [D] [value.go:475]  ---- 开始分页查询 ----
2020/11/05 15:07:09.478 [D] [cache.go:10]  ---- get redis starting ----
2020/11/05 15:07:09.479 [D] [cache.go:25]  ---- 开始获取redis连接 ----
2020/11/05 15:07:09.491 [D] [storage.go:35]  ---- 开始获取redis连接池 ----
2020/11/05 15:07:09.492 [D] [storage.go:51]  ---- 开始获取配置文件信息redis信息 ----
2020/11/05 15:07:09.492 [D] [storage.go:51]  ---- host:192.168.189.128,port:6379,pwd:redis@wcj,maxIdle:10,maxActive:100 ----
2020/11/05 15:07:09.498 [D] [cache.go:10]  ---- get redis val:admin ----
2020/11/05 15:07:09.499 [D] [user.go:119]  ---- 开始获取数据库连接 ----
2020/11/05 15:07:09.499 [D] [storage.go:123]  ---- 开始获取配置文件中DB信息 ----
2020/11/05 15:07:09.500 [D] [storage.go:123]  user:root,password:520wcj,dbname:family_diary,maxIdle:10,maxConn:30
2020/11/05 15:07:09.506 [E] [user.go:120]  ---- query users(page) failed,err:sql: expected 7 destination arguments in Scan, not 1
2020/11/05 15:07:09.506 [D] [server.go:2843]  |      127.0.0.1|[42m 200 [0m|     28.922ms|   match|[46m POST    [0m /get/users   r:/get/users
2020/11/05 15:24:33.494 [D] [cache.go:10]  ---- get redis starting ----
2020/11/05 15:24:33.494 [D] [cache.go:25]  ---- 开始获取redis连接 ----
2020/11/05 15:24:33.495 [D] [storage.go:35]  ---- 开始获取redis连接池 ----
2020/11/05 15:24:33.495 [D] [storage.go:51]  ---- 开始获取配置文件信息redis信息 ----
2020/11/05 15:24:33.505 [D] [storage.go:51]  ---- host:192.168.189.128,port:6379,pwd:redis@wcj,maxIdle:10,maxActive:100 ----
2020/11/05 15:24:33.645 [D] [cache.go:10]  ---- get redis val:admin ----
2020/11/05 15:24:33.646 [D] [user.go:120]  ---- 开始获取数据库连接 ----
2020/11/05 15:24:33.647 [D] [storage.go:123]  ---- 开始获取配置文件中DB信息 ----
2020/11/05 15:24:33.649 [D] [storage.go:123]  user:root,password:520wcj,dbname:family_diary,maxIdle:10,maxConn:30
2020/11/05 15:24:33.668 [D] [server.go:2843]  |      127.0.0.1|[42m 200 [0m|   174.5329ms|   match|[46m POST    [0m /get/users   r:/get/users
2020/11/05 15:25:26.111 [D] [cache.go:10]  ---- get redis starting ----
2020/11/05 15:25:26.111 [D] [cache.go:25]  ---- 开始获取redis连接 ----
2020/11/05 15:25:26.112 [D] [storage.go:35]  ---- 开始获取redis连接池 ----
2020/11/05 15:25:26.112 [D] [storage.go:51]  ---- 开始获取配置文件信息redis信息 ----
2020/11/05 15:25:26.125 [D] [storage.go:51]  ---- host:192.168.189.128,port:6379,pwd:redis@wcj,maxIdle:10,maxActive:100 ----
2020/11/05 15:25:26.265 [D] [cache.go:10]  ---- get redis val:admin ----
2020/11/05 15:25:26.266 [D] [user.go:120]  ---- 开始获取数据库连接 ----
2020/11/05 15:25:26.266 [D] [storage.go:123]  ---- 开始获取配置文件中DB信息 ----
2020/11/05 15:25:26.267 [D] [storage.go:123]  user:root,password:520wcj,dbname:family_diary,maxIdle:10,maxConn:30
